instruction_type,repository,repository_url,file_path,file_url,primary_language,stars,fork,archived,nested,readable,test_commands,security_rules,missing_configurations
AGENTS.md,VRSEN/agency-swarm,https://github.com/VRSEN/agency-swarm,AGENTS.md,https://github.com/VRSEN/agency-swarm/blob/320467b9dde4c243746cf579c6dca085ed83470d/AGENTS.md,Python,4488,false,false,false,true,,Secrets and credentials | Human approval | Production restrictions | Destructive action limits | Generated file boundaries,
AGENTS.md,vladmandic/sdnext,https://github.com/vladmandic/sdnext,AGENTS.md,https://github.com/vladmandic/sdnext/blob/e08063a963da4da03554dc8b5be93e99b65f2fa9/AGENTS.md,Python,7171,false,false,false,true,,,setup or install guidance | an explicit test command | verification or completion criteria | scope or precedence guidance | a security or approval rule
AGENTS.md,layer5io/academy-theme,https://github.com/layer5io/academy-theme,agents.md,https://github.com/layer5io/academy-theme/blob/a594b2ccac3d83cef78ab54a673bc89baf8cf8e4/agents.md,HTML,28,false,false,false,true,,Secrets and credentials | Generated file boundaries,scope or precedence guidance
AGENTS.md,nextdns/nextdns,https://github.com/nextdns/nextdns,AGENTS.md,https://github.com/nextdns/nextdns/blob/cd213c985a44dc83bfd53a2d83d4b59f3cfeff5a/AGENTS.md,Go,4098,false,false,false,true,,,a security or approval rule
AGENTS.md,moviro-hub/OpenSourceRoutingMachine.jl,https://github.com/moviro-hub/OpenSourceRoutingMachine.jl,Agents.md,https://github.com/moviro-hub/OpenSourceRoutingMachine.jl/blob/8da37cee1251fe32524ef7de24f76478c9477abe/Agents.md,Julia,7,false,false,false,true,,,verification or completion criteria | a security or approval rule
AGENTS.md,0x92/gematrix-laravel,https://github.com/0x92/gematrix-laravel,AGENTS.MD,https://github.com/0x92/gematrix-laravel/blob/ca8b1ea350dc042e1e6e9c19800e349c2a93bf9d/AGENTS.MD,PHP,1,false,false,false,true,,Human approval,
AGENTS.md,fritzprix/role-playing-mcp-server,https://github.com/fritzprix/role-playing-mcp-server,agents.md,https://github.com/fritzprix/role-playing-mcp-server/blob/291c2230cb3d9a2764dbdffdb40293549b1ebd7a/agents.md,JavaScript,14,false,false,false,true,,,setup or install guidance | a security or approval rule
AGENTS.md,sei-protocol/sei-chain,https://github.com/sei-protocol/sei-chain,AGENTS.md,https://github.com/sei-protocol/sei-chain/blob/7fee5c225804a616bb0156e2e2e1d8a1ec3d4abd/AGENTS.md,Go,2843,false,false,false,true,go test,,a security or approval rule
AGENTS.md,Mohith737/Snack-Squad-App,https://github.com/Mohith737/Snack-Squad-App,Agents.md,https://github.com/Mohith737/Snack-Squad-App/blob/5dc85d36c822da69183aa0b61b0fd25bee25a598/Agents.md,Kotlin,5,false,false,false,true,,Human approval | Destructive action limits,scope or precedence guidance | a security or approval rule
AGENTS.md,phnxsahil/Miryn-AI,https://github.com/phnxsahil/Miryn-AI,AGENTS.MD,https://github.com/phnxsahil/Miryn-AI/blob/0d3a06293d97cbb904c4739d388f1854592881c1/AGENTS.MD,Python,0,false,false,false,true,pytest,,setup or install guidance | verification or completion criteria | scope or precedence guidance | a security or approval rule
AGENTS.md,yanyiwu/nodejieba,https://github.com/yanyiwu/nodejieba,AGENTS.md,https://github.com/yanyiwu/nodejieba/blob/fbb7bbe5c18ec1d9bff2a8ba69ad37fd278aa79a/AGENTS.md,JavaScript,3230,false,false,false,true,,,setup or install guidance | an explicit test command | verification or completion criteria | scope or precedence guidance | a security or approval rule
AGENTS.md,WaveringAna/wisp.place-monorepo,https://github.com/WaveringAna/wisp.place-monorepo,agents.md,https://github.com/WaveringAna/wisp.place-monorepo/blob/01cdc0b46d2a1150d55ab11988185821d99e09e3/agents.md,TypeScript,13,false,false,false,true,,Destructive action limits,setup or install guidance | an explicit test command | verification or completion criteria | a security or approval rule
